date,mineral,Flow,Quantity,Volume
2023-11-01,Graphite, export,4060.0,0.0
2023-11-01,Graphite, import,739227.0,1.1400000000000001
2023-11-01,Lithium, export,91490.0,14.5
2023-11-01,Lithium, import,89791096.0,219.94
2023-12-01,Copper, export,16619428.0,37.4
2023-12-01,Copper, import,96043724.0,281.54
2023-12-01,Graphite, export,17500.0,0.03
2023-12-01,Graphite, import,2255813.0,1.3
2023-12-01,Lithium, export,150972.0,14.29
2023-12-01,Lithium, import,78235683.0,210.73000000000002
2024-01-01,Copper, export,3643450.0,19.34
2024-01-01,Copper, import,91920474.0,346.43
2024-01-01,Graphite, export,14096.0,0.01
2024-01-01,Graphite, import,698260.0,0.58
2024-01-01,Lithium, export,123305.0,8.14
2024-01-01,Lithium, import,88950755.0,243.21
2024-02-01,Copper, export,4170341.0,18.38
2024-02-01,Copper, import,128126345.0,465.3
2024-02-01,Graphite, export,12354.0,0.01
2024-02-01,Graphite, import,961184.0,0.5800000000000001
2024-02-01,Lithium, export,143026.0,12.49
2024-02-01,Lithium, import,105381776.0,220.85
2024-03-01,Copper, export,4445012.0,22.32
2024-03-01,Copper, import,96667309.0,328.07
2024-03-01,Graphite, export,27550.0,0.04
2024-03-01,Graphite, import,962856.0,0.53
2024-03-01,Lithium, export,409222.0,13.06
2024-03-01,Lithium, import,79408766.0,239.42999999999998
2024-04-01,Copper, export,7748627.0,19.82
2024-04-01,Copper, import,43560623.0,181.11
2024-04-01,Graphite, export,10100.0,0.02
2024-04-01,Graphite, import,1495067.0,0.97
2024-04-01,Lithium, export,101332.0,7.66
2024-04-01,Lithium, import,74087675.0,182.82999999999998
2024-05-01,Copper, export,2659404.0,13.32
2024-05-01,Copper, import,134618536.0,507.63
2024-05-01,Graphite, export,3333.0,0.01
2024-05-01,Graphite, import,1403388.0,0.65
2024-05-01,Lithium, export,326331.0,12.270000000000001
2024-05-01,Lithium, import,95159222.0,236.77
2024-06-01,Copper, export,10914545.0,23.68
2024-06-01,Copper, import,104091378.0,431.59000000000003
2024-06-01,Graphite, export,33078.0,0.09
2024-06-01,Graphite, import,1788438.0,1.25
2024-06-01,Lithium, export,525863.0,4.86
2024-06-01,Lithium, import,109969502.0,227.24
2024-07-01,Copper, export,1725905.0,9.4
2024-07-01,Copper, import,71054020.0,322.52
2024-07-01,Graphite, export,209332.0,0.1
2024-07-01,Graphite, import,1336540.0,0.97
2024-07-01,Lithium, export,139588.0,11.120000000000001
2024-07-01,Lithium, import,134348026.0,282.13
2024-08-01,Copper, export,2175610.0,11.7
2024-08-01,Copper, import,155578132.0,622.14
2024-08-01,Graphite, export,129900.0,0.04
2024-08-01,Graphite, import,4303154.0,1.76
2024-08-01,Lithium, export,45697.0,6.18
2024-08-01,Lithium, import,132033908.0,266.40999999999997
2024-09-01,Copper, export,2729922.0,15.08
2024-09-01,Copper, import,131906049.0,444.92
2024-09-01,Graphite, export,18152.0,0.04
2024-09-01,Graphite, import,5787091.0,1.99
2024-09-01,Lithium, export,287203.0,7.43
2024-09-01,Lithium, import,103113550.0,228.24999999999997
2024-10-01,Copper, export,4895820.0,27.68
2024-10-01,Copper, import,144828415.0,619.93
2024-10-01,Graphite, export,5506.0,0.01
2024-10-01,Graphite, import,2135482.0,2.35
2024-10-01,Lithium, export,92613.0,7.27
2024-10-01,Lithium, import,115535427.0,263.42
2024-11-01,Copper, export,4487448.0,28.05
2024-11-01,Copper, import,111652185.0,379.85
2024-11-01,Graphite, export,29025.0,0.05
2024-11-01,Graphite, import,1896333.0,1.27
2024-11-01,Lithium, export,555278.0,3.38
2024-11-01,Lithium, import,93414598.0,246.87000000000003
2024-12-01,Copper, export,4594563.0,28.8
2024-12-01,Copper, import,149700834.0,467.89
2024-12-01,Graphite, export,23414.0,0.04
2024-12-01,Graphite, import,3797686.0,2.19
2024-12-01,Lithium, export,100081.0,12.540000000000001
2024-12-01,Lithium, import,119521279.0,276.81
2025-01-01,Copper, export,8280565.0,42.46
2025-01-01,Copper, import,192676489.0,680.99
2025-01-01,Graphite, export,53511.0,0.04
2025-01-01,Graphite, import,1435556.0,1.1400000000000001
2025-01-01,Lithium, export,276186.0,3.48
2025-01-01,Lithium, import,105036355.0,284.8
2025-02-01,Copper, export,4833724.0,25.93
